cgpa,attendance,aptitude_score,communication_score,technical_score,projects,internships,certifications,coding_skills,soft_skills,placed
7.5,50.0,63.0,47.0,73.0,3,1,3,45.0,86.0,0
7.57,89.0,62.0,72.0,61.0,1,0,6,64.0,67.0,0
7.35,66.0,53.0,84.0,63.0,4,0,2,34.0,69.0,0
5.83,73.0,55.0,50.0,41.0,4,0,2,71.0,44.0,0
5.02,61.0,90.0,70.0,63.0,3,1,1,58.0,77.0,0
7.15,61.0,61.0,48.0,71.0,6,0,2,64.0,63.0,0
6.68,76.0,49.0,60.0,67.0,6,0,2,55.0,74.0,0
7.51,69.0,54.0,54.0,72.0,6,1,2,53.0,71.0,0
7.73,83.0,83.0,75.0,88.0,0,0,2,41.0,70.0,1
7.22,83.0,75.0,54.0,79.0,6,0,2,74.0,66.0,0
7.78,82.0,73.0,81.0,62.0,2,1,5,88.0,79.0,0
7.31,81.0,58.0,61.0,39.0,3,1,2,47.0,64.0,1
7.58,97.0,73.0,55.0,50.0,2,0,6,69.0,45.0,0
6.47,65.0,51.0,45.0,57.0,1,2,4,67.0,76.0,0
6.94,77.0,58.0,69.0,66.0,6,1,5,58.0,55.0,0
7.28,92.0,80.0,79.0,52.0,4,0,4,27.0,47.0,0
7.84,93.0,79.0,69.0,43.0,6,1,7,32.0,52.0,1
6.75,61.0,45.0,100.0,38.0,6,1,2,42.0,71.0,0
7.57,74.0,48.0,88.0,30.0,2,1,7,15.0,66.0,0
6.86,94.0,65.0,60.0,57.0,5,1,1,86.0,35.0,0
6.99,84.0,94.0,60.0,33.0,3,1,1,65.0,61.0,0
7.85,80.0,29.0,73.0,42.0,3,3,6,57.0,85.0,0
5.31,75.0,68.0,52.0,54.0,5,1,7,14.0,60.0,0
5.93,73.0,38.0,84.0,36.0,4,1,0,22.0,65.0,0
5.77,81.0,52.0,71.0,68.0,6,1,4,58.0,83.0,1
5.0,75.0,56.0,69.0,75.0,5,2,4,97.0,79.0,0
6.49,77.0,55.0,76.0,51.0,4,2,1,44.0,82.0,0
7.77,79.0,53.0,93.0,53.0,6,0,4,75.0,25.0,0
6.84,70.0,63.0,68.0,71.0,0,0,5,48.0,93.0,0
7.28,84.0,53.0,63.0,47.0,5,1,4,59.0,77.0,0
8.08,100.0,37.0,89.0,46.0,2,0,4,82.0,100.0,0
8.29,57.0,77.0,80.0,84.0,3,1,7,51.0,55.0,1
7.04,82.0,77.0,60.0,78.0,5,1,1,44.0,41.0,1
8.32,69.0,78.0,65.0,72.0,1,2,4,86.0,67.0,1
7.18,85.0,35.0,68.0,79.0,6,0,2,59.0,63.0,1
6.35,79.0,68.0,71.0,23.0,3,1,7,80.0,77.0,0
6.57,87.0,75.0,43.0,87.0,2,0,2,44.0,83.0,0
5.77,92.0,44.0,40.0,68.0,2,1,6,86.0,66.0,0
6.3,80.0,63.0,51.0,80.0,2,0,5,63.0,63.0,0
6.78,92.0,61.0,50.0,68.0,6,1,1,67.0,75.0,0
7.82,50.0,96.0,55.0,62.0,0,1,6,61.0,63.0,0
8.65,97.0,98.0,75.0,56.0,3,1,1,48.0,62.0,1
5.86,83.0,33.0,62.0,68.0,5,1,2,58.0,83.0,0
7.45,91.0,100.0,68.0,55.0,3,0,2,49.0,86.0,1
6.16,63.0,47.0,45.0,77.0,3,0,5,77.0,83.0,0
7.53,68.0,81.0,58.0,31.0,2,0,3,54.0,64.0,0
6.98,80.0,80.0,74.0,51.0,0,3,4,28.0,35.0,0
5.45,78.0,45.0,75.0,100.0,4,2,4,24.0,65.0,0
7.94,81.0,72.0,53.0,49.0,6,0,1,23.0,56.0,0
6.56,91.0,61.0,68.0,56.0,3,0,1,70.0,65.0,0
6.62,57.0,73.0,100.0,44.0,3,0,2,35.0,57.0,0
6.14,90.0,67.0,65.0,67.0,0,1,1,64.0,67.0,0
6.51,78.0,85.0,54.0,47.0,6,0,7,61.0,51.0,0
7.49,76.0,64.0,62.0,57.0,6,0,3,57.0,48.0,0
6.93,60.0,60.0,66.0,77.0,6,0,3,67.0,85.0,0
7.4,84.0,83.0,63.0,48.0,2,0,5,61.0,52.0,0
7.43,49.0,73.0,64.0,76.0,4,0,6,4.0,67.0,0
8.29,86.0,76.0,42.0,77.0,3,0,5,52.0,81.0,0
6.79,60.0,51.0,50.0,81.0,1,1,4,67.0,81.0,0
5.77,79.0,44.0,63.0,64.0,1,1,7,91.0,79.0,0
8.06,77.0,53.0,62.0,100.0,2,0,7,92.0,72.0,0
6.8,92.0,52.0,56.0,81.0,3,1,1,31.0,78.0,0
8.1,76.0,77.0,62.0,67.0,0,1,1,51.0,88.0,0
7.45,70.0,81.0,66.0,44.0,4,1,3,27.0,73.0,0
6.98,72.0,60.0,79.0,59.0,3,2,6,88.0,39.0,0
7.41,93.0,89.0,63.0,88.0,6,0,7,78.0,59.0,1
8.86,84.0,88.0,71.0,93.0,1,2,5,65.0,77.0,1
8.97,73.0,67.0,56.0,89.0,0,1,5,61.0,58.0,0
7.16,75.0,48.0,74.0,76.0,2,1,1,86.0,91.0,0
7.24,59.0,91.0,71.0,37.0,6,0,4,82.0,66.0,0
8.07,83.0,62.0,79.0,70.0,2,0,1,81.0,68.0,0
6.34,57.0,65.0,76.0,37.0,4,0,4,67.0,84.0,0
7.4,87.0,57.0,74.0,33.0,5,3,1,51.0,64.0,1
7.08,80.0,47.0,63.0,66.0,1,1,0,73.0,70.0,0
7.38,100.0,37.0,69.0,71.0,4,0,7,74.0,80.0,0
6.35,65.0,74.0,82.0,78.0,1,1,7,54.0,45.0,0
5.67,77.0,49.0,55.0,70.0,2,0,5,51.0,63.0,0
5.23,100.0,100.0,55.0,71.0,2,0,5,81.0,79.0,0
6.09,92.0,43.0,68.0,42.0,4,1,1,91.0,68.0,0
6.69,70.0,40.0,72.0,59.0,6,1,4,43.0,89.0,0
6.84,81.0,72.0,52.0,32.0,1,1,5,53.0,43.0,0
8.84,78.0,91.0,64.0,23.0,2,1,4,65.0,42.0,1
8.1,81.0,64.0,63.0,75.0,5,1,2,68.0,79.0,1
6.23,70.0,73.0,30.0,47.0,3,1,3,48.0,80.0,0
7.41,77.0,30.0,61.0,78.0,3,0,6,96.0,64.0,0
6.73,59.0,51.0,62.0,82.0,4,1,2,66.0,73.0,1
6.84,80.0,44.0,62.0,49.0,0,1,7,69.0,78.0,0
7.27,83.0,29.0,88.0,72.0,6,0,6,93.0,55.0,0
7.66,75.0,65.0,46.0,48.0,2,0,7,49.0,56.0,0
6.79,59.0,23.0,52.0,26.0,4,0,4,56.0,70.0,0
8.06,90.0,39.0,23.0,63.0,3,0,1,33.0,81.0,0
6.07,82.0,53.0,57.0,52.0,5,1,0,55.0,50.0,0
7.11,69.0,48.0,59.0,53.0,4,0,4,28.0,64.0,0
9.44,75.0,70.0,57.0,99.0,1,1,3,73.0,63.0,1
7.3,60.0,69.0,83.0,32.0,1,0,0,66.0,73.0,0
8.39,66.0,79.0,79.0,68.0,6,0,7,52.0,67.0,0
7.18,72.0,77.0,66.0,42.0,3,0,7,56.0,59.0,0
7.62,93.0,84.0,59.0,78.0,1,0,2,73.0,86.0,1
7.05,70.0,63.0,81.0,67.0,1,3,5,35.0,59.0,1
6.95,86.0,68.0,65.0,68.0,0,0,3,62.0,63.0,0
6.4,72.0,72.0,52.0,43.0,6,0,3,72.0,43.0,0
7.49,81.0,66.0,38.0,46.0,6,0,4,22.0,56.0,0
6.33,76.0,56.0,58.0,79.0,2,0,3,72.0,75.0,0
7.7,88.0,57.0,77.0,95.0,1,1,6,25.0,72.0,0
8.08,72.0,48.0,100.0,70.0,2,1,1,56.0,76.0,0
7.43,59.0,71.0,66.0,44.0,0,0,5,35.0,75.0,0
6.84,61.0,61.0,53.0,67.0,3,1,7,87.0,98.0,0
7.51,72.0,51.0,46.0,100.0,4,1,6,35.0,56.0,0
6.82,63.0,51.0,74.0,63.0,6,2,0,25.0,43.0,0
7.94,83.0,41.0,37.0,89.0,2,1,0,61.0,51.0,0
5.45,72.0,81.0,74.0,47.0,1,0,5,50.0,56.0,0
6.8,100.0,64.0,78.0,60.0,0,1,7,28.0,52.0,0
5.31,57.0,47.0,72.0,73.0,2,2,6,69.0,68.0,0
5.75,80.0,78.0,61.0,69.0,4,0,7,18.0,86.0,0
8.33,64.0,53.0,74.0,46.0,0,3,1,37.0,90.0,0
7.91,72.0,38.0,68.0,46.0,5,2,4,46.0,75.0,1
6.45,80.0,81.0,53.0,80.0,3,0,5,74.0,99.0,0
5.75,50.0,53.0,95.0,84.0,5,1,4,84.0,62.0,0
4.5,81.0,56.0,59.0,90.0,3,1,6,80.0,43.0,0
6.61,100.0,64.0,77.0,95.0,1,1,1,55.0,83.0,0
9.28,73.0,84.0,26.0,64.0,0,1,3,9.0,39.0,0
7.49,81.0,63.0,85.0,55.0,3,2,3,66.0,56.0,1
6.6,90.0,41.0,89.0,87.0,3,1,7,87.0,75.0,0
7.52,76.0,73.0,65.0,75.0,5,1,1,83.0,65.0,1
5.7,71.0,54.0,74.0,42.0,6,0,2,67.0,64.0,0
6.83,51.0,97.0,74.0,41.0,1,0,0,34.0,49.0,0
7.19,86.0,63.0,55.0,70.0,2,2,1,47.0,67.0,1
7.02,77.0,23.0,74.0,58.0,1,1,7,97.0,82.0,0
7.81,66.0,69.0,52.0,60.0,0,0,6,30.0,67.0,0
7.41,80.0,98.0,55.0,81.0,0,2,2,35.0,55.0,0
7.7,71.0,91.0,83.0,75.0,0,2,5,77.0,48.0,1
6.48,72.0,96.0,81.0,86.0,3,1,4,49.0,55.0,0
7.91,85.0,45.0,54.0,24.0,1,0,7,34.0,73.0,0
8.57,62.0,79.0,53.0,66.0,1,1,2,89.0,72.0,0
6.23,91.0,50.0,55.0,74.0,0,0,7,67.0,55.0,0
6.3,61.0,67.0,77.0,32.0,5,0,2,50.0,34.0,0
8.3,70.0,40.0,49.0,49.0,4,1,5,35.0,73.0,1
6.93,100.0,51.0,71.0,45.0,6,2,3,99.0,54.0,1
8.36,92.0,51.0,77.0,61.0,0,0,5,58.0,77.0,0
6.7,79.0,79.0,64.0,92.0,1,2,2,86.0,56.0,0
8.41,67.0,77.0,81.0,99.0,3,2,6,76.0,52.0,1
7.22,72.0,68.0,60.0,46.0,4,0,5,48.0,69.0,0
7.33,79.0,39.0,62.0,71.0,0,0,2,48.0,100.0,0
8.51,78.0,57.0,49.0,72.0,1,1,7,87.0,78.0,1
6.77,77.0,50.0,81.0,68.0,2,1,5,87.0,69.0,0
6.25,78.0,79.0,53.0,69.0,0,0,3,20.0,72.0,0
6.7,75.0,84.0,71.0,67.0,2,1,1,69.0,41.0,0
7.51,61.0,82.0,64.0,93.0,5,1,7,56.0,50.0,1
5.69,72.0,49.0,48.0,82.0,3,1,6,37.0,29.0,0
7.67,89.0,14.0,55.0,41.0,3,1,5,63.0,93.0,1
6.62,62.0,31.0,87.0,76.0,3,0,6,31.0,90.0,0
8.13,76.0,89.0,68.0,78.0,6,0,4,49.0,73.0,1
4.95,68.0,56.0,49.0,67.0,3,0,1,42.0,69.0,0
6.39,79.0,49.0,70.0,82.0,3,2,1,48.0,44.0,0
5.58,73.0,93.0,63.0,65.0,6,2,0,57.0,64.0,0
6.36,96.0,86.0,100.0,65.0,1,1,0,38.0,94.0,0
7.32,84.0,63.0,70.0,63.0,0,0,5,89.0,69.0,0
6.94,62.0,58.0,59.0,23.0,3,1,6,68.0,59.0,0
6.87,86.0,61.0,88.0,59.0,2,0,1,94.0,41.0,0
6.96,69.0,67.0,36.0,48.0,1,0,4,55.0,88.0,0
7.28,71.0,92.0,67.0,38.0,0,0,0,47.0,66.0,0
6.19,82.0,71.0,97.0,88.0,6,2,3,93.0,41.0,1
7.74,72.0,76.0,63.0,71.0,4,0,6,46.0,53.0,0
7.7,89.0,84.0,37.0,60.0,4,1,6,54.0,48.0,1
7.45,69.0,42.0,59.0,50.0,0,3,7,72.0,65.0,0
7.6,71.0,77.0,88.0,67.0,2,1,2,33.0,70.0,0
7.37,70.0,58.0,71.0,80.0,4,0,7,72.0,59.0,0
8.93,71.0,18.0,52.0,45.0,3,2,6,70.0,79.0,1
7.02,91.0,25.0,54.0,61.0,4,1,2,83.0,68.0,0
6.82,86.0,45.0,56.0,77.0,4,0,2,76.0,83.0,0
6.42,99.0,73.0,71.0,24.0,2,1,0,84.0,62.0,0
6.17,100.0,65.0,86.0,60.0,5,2,7,56.0,100.0,0
5.98,66.0,66.0,82.0,53.0,1,0,1,41.0,59.0,0
6.3,79.0,98.0,72.0,58.0,0,1,2,100.0,53.0,0
7.04,64.0,40.0,44.0,51.0,6,0,3,27.0,52.0,0
7.4,69.0,63.0,44.0,64.0,0,0,1,29.0,64.0,0
7.15,70.0,68.0,74.0,98.0,1,1,6,69.0,41.0,0
6.41,65.0,50.0,43.0,55.0,0,0,5,90.0,71.0,0
7.91,65.0,64.0,61.0,67.0,1,0,1,62.0,38.0,0
7.77,76.0,34.0,70.0,99.0,2,0,1,78.0,69.0,0
6.96,63.0,88.0,47.0,51.0,0,0,0,18.0,47.0,0
6.51,88.0,51.0,49.0,95.0,3,0,7,48.0,61.0,0
7.59,67.0,100.0,63.0,61.0,6,1,3,21.0,76.0,1
7.27,100.0,62.0,73.0,95.0,0,0,5,74.0,100.0,0
5.8,73.0,82.0,82.0,75.0,6,0,1,27.0,51.0,0
7.04,79.0,62.0,75.0,67.0,2,2,1,32.0,65.0,0
7.34,62.0,62.0,66.0,60.0,4,3,4,68.0,56.0,1
6.29,98.0,52.0,53.0,49.0,3,0,1,79.0,54.0,0
7.27,91.0,65.0,48.0,62.0,2,0,4,55.0,56.0,0
5.79,82.0,69.0,57.0,78.0,0,0,7,69.0,79.0,0
8.3,62.0,49.0,72.0,61.0,4,0,2,69.0,60.0,0
8.22,81.0,61.0,70.0,55.0,6,0,4,54.0,100.0,0
6.87,65.0,52.0,31.0,56.0,3,2,7,36.0,73.0,1
7.43,96.0,100.0,52.0,80.0,4,1,7,69.0,52.0,0
4.93,88.0,61.0,84.0,84.0,4,0,0,70.0,61.0,0
6.06,79.0,91.0,66.0,48.0,2,3,0,76.0,55.0,0
6.84,49.0,59.0,42.0,48.0,0,0,7,64.0,79.0,0
6.14,66.0,68.0,100.0,68.0,3,0,7,35.0,42.0,0
7.74,86.0,39.0,65.0,90.0,6,0,2,72.0,47.0,1
8.9,93.0,55.0,71.0,83.0,2,0,4,58.0,58.0,0
6.04,91.0,67.0,71.0,37.0,6,2,4,48.0,77.0,0
6.35,59.0,92.0,59.0,56.0,5,0,5,52.0,85.0,0
7.31,82.0,67.0,53.0,43.0,1,1,6,44.0,88.0,0
8.55,90.0,88.0,99.0,56.0,4,0,2,76.0,75.0,1
6.0,58.0,75.0,81.0,91.0,5,2,7,30.0,66.0,0
7.32,78.0,92.0,78.0,34.0,3,1,0,38.0,79.0,0
8.74,81.0,62.0,74.0,30.0,4,1,0,51.0,50.0,0
5.61,74.0,100.0,49.0,45.0,6,0,7,90.0,39.0,0
5.95,56.0,54.0,85.0,66.0,4,2,1,79.0,74.0,0
6.72,74.0,49.0,52.0,73.0,5,1,7,25.0,52.0,0
6.63,74.0,41.0,70.0,69.0,5,0,2,85.0,66.0,0
7.83,76.0,100.0,39.0,83.0,5,2,2,85.0,69.0,1
7.32,71.0,78.0,32.0,28.0,5,0,0,35.0,71.0,0
5.5,73.0,57.0,70.0,84.0,1,0,7,8.0,81.0,0
7.56,78.0,85.0,52.0,55.0,0,1,2,57.0,79.0,0
6.58,83.0,75.0,33.0,75.0,1,0,1,80.0,70.0,0
8.25,74.0,98.0,74.0,36.0,1,0,3,90.0,60.0,0
6.54,73.0,35.0,99.0,61.0,4,0,1,41.0,69.0,0
6.53,79.0,58.0,87.0,65.0,3,0,6,93.0,58.0,0
7.59,55.0,55.0,61.0,83.0,3,0,0,13.0,64.0,0
7.79,84.0,27.0,65.0,31.0,0,0,3,51.0,100.0,0
7.5,78.0,82.0,79.0,62.0,4,2,3,50.0,70.0,1
5.58,78.0,58.0,83.0,40.0,2,1,0,81.0,74.0,0
7.58,90.0,76.0,60.0,71.0,5,1,0,84.0,56.0,1
6.17,55.0,100.0,66.0,76.0,0,0,4,77.0,82.0,0
7.31,54.0,57.0,70.0,85.0,2,1,3,31.0,78.0,0
5.82,81.0,55.0,74.0,51.0,0,0,1,75.0,79.0,0
7.5,78.0,65.0,63.0,79.0,1,0,1,68.0,70.0,0
6.37,80.0,81.0,63.0,87.0,6,1,6,25.0,83.0,1
5.95,72.0,53.0,87.0,30.0,3,0,5,17.0,86.0,0
7.74,86.0,52.0,84.0,73.0,3,1,4,79.0,71.0,0
7.32,89.0,82.0,73.0,79.0,1,2,6,54.0,65.0,0
6.55,84.0,70.0,93.0,56.0,1,2,0,32.0,80.0,0
8.41,75.0,26.0,59.0,38.0,4,0,5,54.0,53.0,0
6.7,53.0,41.0,91.0,79.0,6,0,6,65.0,56.0,0
7.13,87.0,90.0,74.0,38.0,5,0,1,56.0,66.0,0
7.34,93.0,70.0,100.0,58.0,5,1,4,27.0,41.0,0
6.54,86.0,49.0,46.0,60.0,3,2,6,96.0,79.0,0
7.52,67.0,60.0,54.0,75.0,0,2,4,78.0,53.0,0
6.62,86.0,63.0,72.0,49.0,5,0,1,51.0,60.0,0
6.73,88.0,76.0,71.0,48.0,5,2,5,52.0,64.0,1
8.33,97.0,39.0,96.0,63.0,3,1,6,65.0,68.0,0
6.16,67.0,48.0,54.0,80.0,0,2,0,35.0,62.0,0
4.93,75.0,68.0,79.0,100.0,4,1,4,64.0,66.0,0
8.55,87.0,61.0,84.0,32.0,6,0,4,31.0,66.0,0
9.39,79.0,73.0,76.0,67.0,1,0,2,57.0,60.0,0
6.74,65.0,41.0,50.0,40.0,1,2,0,35.0,55.0,0
5.36,83.0,69.0,88.0,80.0,5,0,0,36.0,83.0,0
6.82,85.0,83.0,85.0,43.0,2,0,6,91.0,35.0,0
6.84,79.0,72.0,75.0,48.0,5,0,6,59.0,64.0,0
6.93,81.0,66.0,68.0,50.0,4,0,3,62.0,60.0,0
6.1,75.0,61.0,69.0,60.0,1,2,7,18.0,73.0,0
7.62,96.0,48.0,64.0,67.0,0,0,7,46.0,45.0,0
7.57,67.0,62.0,75.0,70.0,3,0,5,67.0,60.0,0
5.76,71.0,86.0,65.0,61.0,2,1,4,62.0,65.0,0
7.73,78.0,61.0,51.0,36.0,5,1,7,15.0,83.0,1
8.95,89.0,47.0,48.0,75.0,2,0,4,62.0,72.0,0
7.25,60.0,54.0,53.0,60.0,1,0,7,65.0,49.0,0
6.8,62.0,67.0,69.0,83.0,6,0,7,84.0,60.0,0
6.97,54.0,56.0,65.0,48.0,5,0,1,45.0,80.0,0
7.65,78.0,72.0,68.0,31.0,4,0,5,13.0,49.0,0
5.54,65.0,72.0,73.0,60.0,6,0,5,38.0,66.0,0
7.25,73.0,79.0,55.0,86.0,5,1,6,36.0,67.0,0
6.75,86.0,89.0,88.0,64.0,6,2,2,73.0,61.0,1
8.76,70.0,81.0,61.0,57.0,5,2,6,4.0,100.0,0
6.94,81.0,46.0,58.0,44.0,2,0,3,49.0,61.0,0
8.6,74.0,47.0,73.0,94.0,0,0,3,87.0,74.0,0
6.11,86.0,62.0,36.0,41.0,4,3,1,58.0,56.0,0
7.63,84.0,55.0,52.0,47.0,5,1,2,76.0,75.0,0
7.39,70.0,43.0,81.0,72.0,6,1,7,25.0,80.0,1
6.32,76.0,55.0,37.0,26.0,4,0,5,26.0,58.0,0
7.26,91.0,54.0,83.0,85.0,3,0,5,87.0,66.0,0
8.19,83.0,51.0,89.0,73.0,4,1,7,60.0,54.0,1
6.81,61.0,57.0,59.0,78.0,0,1,2,60.0,50.0,0
5.58,86.0,84.0,70.0,72.0,0,0,5,36.0,83.0,0
7.08,65.0,67.0,83.0,58.0,0,2,2,60.0,59.0,0
6.29,95.0,100.0,58.0,41.0,6,1,6,35.0,31.0,0
6.79,90.0,66.0,79.0,58.0,5,1,3,82.0,93.0,1
7.03,81.0,58.0,54.0,42.0,1,0,6,100.0,55.0,0
5.56,80.0,63.0,57.0,70.0,2,1,5,68.0,63.0,0
5.65,75.0,68.0,52.0,76.0,3,1,6,45.0,92.0,0
7.53,86.0,71.0,70.0,89.0,1,0,7,7.0,65.0,0
6.63,74.0,100.0,84.0,68.0,2,1,6,24.0,65.0,0
4.79,81.0,48.0,62.0,79.0,2,1,2,89.0,49.0,0
7.81,88.0,78.0,45.0,55.0,4,2,4,37.0,42.0,1
7.35,71.0,67.0,48.0,52.0,5,0,3,51.0,65.0,0
6.46,71.0,35.0,71.0,70.0,0,2,0,71.0,72.0,0
5.91,64.0,77.0,95.0,54.0,3,0,4,88.0,72.0,0
7.85,65.0,86.0,71.0,66.0,6,0,3,54.0,60.0,1
7.41,56.0,48.0,59.0,41.0,6,0,3,50.0,67.0,0
9.24,87.0,63.0,77.0,44.0,5,0,0,59.0,39.0,0
7.48,100.0,32.0,61.0,73.0,5,0,4,45.0,74.0,0
7.45,95.0,40.0,59.0,78.0,0,1,4,47.0,69.0,0
6.95,58.0,82.0,50.0,42.0,6,1,0,66.0,97.0,0
7.84,87.0,55.0,88.0,74.0,5,0,5,62.0,67.0,0
7.66,95.0,43.0,24.0,51.0,6,3,1,100.0,53.0,1
8.23,73.0,67.0,78.0,61.0,6,0,1,67.0,66.0,0
6.63,79.0,54.0,58.0,88.0,1,1,3,81.0,62.0,0
6.71,54.0,55.0,58.0,76.0,0,2,3,37.0,74.0,0
6.67,81.0,76.0,92.0,76.0,4,2,7,69.0,67.0,1
7.81,65.0,42.0,54.0,97.0,3,1,0,44.0,48.0,0
8.45,80.0,47.0,54.0,48.0,0,1,2,66.0,42.0,0
6.69,59.0,66.0,63.0,42.0,1,0,5,72.0,71.0,0
6.72,85.0,80.0,72.0,47.0,6,0,1,59.0,88.0,0
7.38,90.0,85.0,58.0,56.0,2,0,7,100.0,68.0,0
6.88,69.0,51.0,40.0,16.0,1,0,5,87.0,79.0,0
7.96,64.0,80.0,51.0,57.0,4,0,7,82.0,82.0,1
5.07,52.0,49.0,86.0,51.0,4,0,7,73.0,71.0,0
6.36,75.0,96.0,66.0,76.0,2,2,0,93.0,55.0,1
6.4,71.0,43.0,72.0,68.0,5,2,3,29.0,70.0,0
5.01,59.0,87.0,61.0,50.0,4,1,5,85.0,85.0,0
6.23,83.0,51.0,54.0,72.0,1,1,0,38.0,75.0,0
6.28,73.0,99.0,92.0,75.0,2,0,3,47.0,78.0,0
6.92,65.0,74.0,62.0,46.0,5,0,5,69.0,60.0,0
8.1,71.0,45.0,58.0,52.0,0,1,6,83.0,64.0,0
6.88,91.0,54.0,83.0,19.0,0,1,3,35.0,65.0,0
6.17,85.0,77.0,53.0,40.0,4,0,6,48.0,66.0,0
7.05,76.0,82.0,55.0,47.0,3,0,5,60.0,85.0,0
8.04,85.0,62.0,65.0,62.0,1,1,0,54.0,32.0,0
6.22,64.0,64.0,65.0,43.0,3,0,2,75.0,67.0,0
6.28,78.0,77.0,69.0,51.0,1,0,7,100.0,66.0,0
7.6,80.0,65.0,98.0,38.0,2,0,0,66.0,46.0,0
6.9,72.0,40.0,70.0,64.0,1,1,0,43.0,77.0,0
7.68,83.0,48.0,27.0,69.0,4,2,2,32.0,56.0,1
7.09,69.0,67.0,70.0,69.0,4,1,7,51.0,62.0,0
7.73,84.0,85.0,66.0,61.0,6,1,5,39.0,95.0,1
6.17,85.0,92.0,66.0,32.0,0,1,1,67.0,82.0,0
7.09,43.0,77.0,69.0,49.0,2,0,3,67.0,76.0,0
6.91,92.0,68.0,65.0,53.0,1,1,7,49.0,73.0,0
6.01,41.0,76.0,64.0,53.0,4,1,1,98.0,65.0,0
5.69,71.0,51.0,75.0,62.0,3,1,4,43.0,97.0,0
7.72,90.0,60.0,56.0,88.0,6,0,3,56.0,79.0,1
6.78,74.0,48.0,50.0,76.0,6,2,6,71.0,56.0,0
6.18,60.0,41.0,100.0,42.0,5,2,6,76.0,46.0,0
7.01,65.0,69.0,54.0,74.0,1,0,6,84.0,76.0,0
8.12,90.0,66.0,67.0,73.0,0,0,0,67.0,66.0,0
5.05,55.0,75.0,41.0,46.0,6,0,3,79.0,46.0,0
5.75,92.0,73.0,67.0,77.0,6,1,5,45.0,73.0,0
6.27,77.0,67.0,50.0,58.0,1,1,3,76.0,63.0,0
8.42,64.0,73.0,58.0,34.0,0,0,5,76.0,75.0,0
7.35,71.0,62.0,82.0,70.0,4,1,5,88.0,74.0,0
7.79,66.0,70.0,73.0,65.0,4,0,2,25.0,58.0,0
6.07,88.0,50.0,74.0,57.0,6,0,0,40.0,76.0,0
6.09,87.0,70.0,37.0,60.0,4,0,7,74.0,60.0,0
7.5,57.0,75.0,94.0,47.0,5,1,6,5.0,61.0,1
7.15,73.0,51.0,46.0,73.0,5,1,7,68.0,59.0,0
7.59,68.0,64.0,89.0,60.0,0,0,2,79.0,84.0,0
6.93,94.0,52.0,81.0,64.0,1,0,2,46.0,63.0,0
7.35,62.0,54.0,74.0,68.0,5,2,2,49.0,88.0,1
7.24,97.0,43.0,51.0,39.0,1,1,0,37.0,94.0,0
7.8,78.0,86.0,67.0,44.0,1,2,1,48.0,56.0,0
7.83,64.0,82.0,57.0,19.0,5,1,2,48.0,23.0,0
5.64,70.0,73.0,65.0,72.0,1,1,7,44.0,83.0,1
5.08,68.0,98.0,61.0,38.0,1,0,1,43.0,62.0,0
8.0,63.0,60.0,32.0,64.0,0,1,4,53.0,54.0,0
8.17,79.0,100.0,83.0,68.0,3,0,4,52.0,58.0,1
6.18,63.0,59.0,64.0,72.0,4,0,2,95.0,61.0,0
5.43,52.0,68.0,57.0,38.0,5,0,7,50.0,86.0,0
7.19,73.0,56.0,56.0,60.0,6,0,0,65.0,69.0,0
7.94,56.0,70.0,71.0,93.0,4,2,6,46.0,86.0,1
8.72,69.0,78.0,51.0,94.0,5,3,5,46.0,74.0,1
7.56,67.0,61.0,29.0,80.0,1,1,2,24.0,62.0,0
6.77,68.0,95.0,72.0,67.0,2,0,6,27.0,61.0,0
6.3,100.0,67.0,73.0,42.0,2,2,3,34.0,75.0,0
7.11,79.0,68.0,62.0,75.0,0,1,7,62.0,79.0,0
6.83,81.0,47.0,47.0,58.0,6,0,0,80.0,82.0,0
6.19,57.0,71.0,66.0,72.0,1,1,0,22.0,63.0,0
8.94,70.0,61.0,42.0,49.0,3,1,4,47.0,70.0,1
8.71,81.0,52.0,49.0,58.0,2,0,7,31.0,76.0,0
8.12,66.0,49.0,53.0,64.0,0,1,0,53.0,61.0,0
6.27,89.0,100.0,79.0,66.0,6,1,6,80.0,50.0,1
7.87,64.0,58.0,59.0,70.0,1,0,7,49.0,55.0,0
7.68,75.0,37.0,58.0,50.0,0,0,3,57.0,63.0,0
7.5,71.0,50.0,96.0,35.0,2,1,6,87.0,77.0,0
8.22,80.0,62.0,71.0,92.0,1,1,6,67.0,86.0,1
7.67,70.0,73.0,70.0,100.0,6,3,1,43.0,47.0,1
7.77,75.0,73.0,59.0,70.0,1,2,6,61.0,58.0,0
7.67,75.0,75.0,55.0,36.0,2,1,5,41.0,62.0,0
7.41,69.0,51.0,30.0,46.0,1,1,0,66.0,79.0,0
5.49,84.0,69.0,80.0,71.0,0,1,4,68.0,59.0,0
7.18,81.0,47.0,72.0,86.0,0,1,5,31.0,61.0,0
6.6,77.0,52.0,62.0,38.0,3,0,6,62.0,46.0,0
5.95,73.0,46.0,63.0,59.0,1,1,6,56.0,74.0,0
8.61,88.0,42.0,77.0,65.0,0,1,3,69.0,65.0,0
8.66,75.0,82.0,40.0,77.0,2,1,2,75.0,57.0,1
8.32,74.0,75.0,56.0,54.0,1,2,1,68.0,63.0,0
7.33,79.0,81.0,47.0,31.0,2,1,0,52.0,84.0,0
